"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 11 14:49:46 CST 2024","Thu Jan 11 14:49:52 CST 2024","5462","testcase","test_case_excel","","","","上交所协商成交_正常申报","上交所协商成交各接口各要素正确，方向买入，申报成功"
"passed","Thu Jan 11 14:50:02 CST 2024","Thu Jan 11 14:50:13 CST 2024","10765","testcase","test_case_excel","","","","上交所协商成交_正常撤单","上交所协商成交各接口各要素正确，方向买入，撤单成功"
"failed","Thu Jan 11 14:51:29 CST 2024","Thu Jan 11 14:51:36 CST 2024","6590","testcase","test_case_excel","","","","上交所协商成交_约定号校验","上交所协商成交_约定号校验，存在已成交的相同的约定号"
"passed","Thu Jan 11 14:51:13 CST 2024","Thu Jan 11 14:51:19 CST 2024","5422","testcase","test_case_excel","","","","上交所协商成交_约定号校验","上交所协商成交_约定号校验，约定号超过3位"
"passed","Thu Jan 11 14:51:02 CST 2024","Thu Jan 11 14:51:08 CST 2024","5323","testcase","test_case_excel","","","","上交所协商成交_交易价格校验","上交所协商成交_交易价格校验_四位小数，最后一位为0"
"passed","Thu Jan 11 14:51:24 CST 2024","Thu Jan 11 14:51:29 CST 2024","5330","testcase","test_case_excel","","","","上交所协商成交_约定号校验","上交所协商成交_约定号校验，存在已报相同的约定号"
"passed","Thu Jan 11 14:50:13 CST 2024","Thu Jan 11 14:50:24 CST 2024","11260","testcase","test_case_excel","","","","上交所协商成交_正常成交","上交所协商成交各接口各要素正确，方向卖出，正常成交"
"passed","Thu Jan 11 14:50:41 CST 2024","Thu Jan 11 14:50:46 CST 2024","5249","testcase","test_case_excel","","","","上交所协商成交_方向校验","上交所协商成交除交易方向其他要素正确，交易方向为空，价格数量B填写"
"failed","Thu Jan 11 14:49:40 CST 2024","Thu Jan 11 14:49:45 CST 2024","5345","testcase","test_case_excel","","","","上交所协商成交_正常申报","上交所协商成交各接口各要素正确，方向卖出，申报成功"
"passed","Thu Jan 11 14:51:53 CST 2024","Thu Jan 11 14:51:58 CST 2024","5398","testcase","test_case_excel","","","","上交所协商成交_正常撤单","上交所确定报价各接口各要素正确，方向为双边，申报成功"
"failed","Thu Jan 11 14:50:46 CST 2024","Thu Jan 11 14:50:51 CST 2024","5406","testcase","test_case_excel","","","","上交所协商成交_方向校验","上交所协商成交除交易方向其他要素正确，交易方向为D"
"failed","Thu Jan 11 14:50:51 CST 2024","Thu Jan 11 14:50:57 CST 2024","5367","testcase","test_case_excel","","","","上交所协商成交_方向校验","上交所协商成交除交易方向其他要素正确，交易方向为C"
"passed","Thu Jan 11 14:51:58 CST 2024","Thu Jan 11 14:52:03 CST 2024","5215","testcase","test_case_excel","","","","上交所协商成交_正常撤单","上交所确定报价各接口各要素正确，方向为双边，申报成功"
"failed","Thu Jan 11 14:50:25 CST 2024","Thu Jan 11 14:50:35 CST 2024","10409","testcase","test_case_excel","","","","上交所协商成交_正常成交","上交所协商成交各接口各要素正确，方向买入，正常成交"
"passed","Thu Jan 11 14:51:41 CST 2024","Thu Jan 11 14:51:53 CST 2024","11167","testcase","test_case_excel","","","","上交所确定报价_正常撤单","上交所确定报价各接口各要素正确，方向为双边，申报成功之后撤单成功"
"passed","Thu Jan 11 14:49:52 CST 2024","Thu Jan 11 14:50:02 CST 2024","10778","testcase","test_case_excel","","","","上交所协商成交_正常撤单","上交所协商成交各接口各要素正确，方向卖出，撤单成功"
"passed","Thu Jan 11 14:51:36 CST 2024","Thu Jan 11 14:51:41 CST 2024","5496","testcase","test_case_excel","","","","上交所确定报价_正常申报","上交所确定报价各接口各要素正确，方向为双边，申报成功"
"passed","Thu Jan 11 14:51:08 CST 2024","Thu Jan 11 14:51:13 CST 2024","5398","testcase","test_case_excel","","","","上交所协商成交_交易价格校验","上交所协商成交_交易价格校验_四位小数，最后一位不为0"
"failed","Thu Jan 11 14:50:35 CST 2024","Thu Jan 11 14:50:40 CST 2024","5547","testcase","test_case_excel","","","","上交所协商成交_方向校验","上交所协商成交除交易方向其他要素正确，交易方向为空，价格数量S填写"
"failed","Thu Jan 11 14:50:57 CST 2024","Thu Jan 11 14:51:02 CST 2024","5738","testcase","test_case_excel","","","","上交所协商成交_交易价格校验","上交所协商成交_交易价格校验_三位小数"
"failed","Thu Jan 11 14:51:19 CST 2024","Thu Jan 11 14:51:24 CST 2024","5261","testcase","test_case_excel","","","","上交所协商成交_约定号校验","上交所协商成交_约定号校验，约定号为非数字"
